X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,ibr_date,oid
-83.07891689,42.37303376,3513918,2006230004,Delaware St & 2nd Ave,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/06/23 03:00:00+00,0.958333333,1,23,2020,303,3,2.61635E+14,New Center Commons,5,48202,-83.07891689,42.37303376,2020/08/21 16:31:06+00,386
-83.15247299,42.41887957,3534400,2008150268,Santa Maria St & Roselawn St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/08/15 19:00:00+00,0.625,6,15,2020,1208,12,2.61635E+14,Bagley,2,48221,-83.15247299,42.41887957,2020/08/20 16:52:43+00,390
-83.10666925,42.38089893,3535171,2008170282,Glynn Ct & 14th St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/08/17 22:00:00+00,0.75,1,18,2020,1005,10,2.61635E+14,Dexter-Linwood,5,48206,-83.10666925,42.38089893,2020/08/27 09:49:41+00,391
-83.0414459,42.33316655,3453421,2001010125,Beaubien St & E Fort St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/01 15:30:00+00,0.4375,3,10,2020,312,3,2.61635E+14,Downtown,5,48226,-83.0414459,42.33316655,2020/01/07 10:31:15+00,61192
-82.99458116,42.38318931,3453526,2001010237,Bewick St & E Warren Ave,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/01 06:30:00+00,0.0625,3,1,2020,501,5,2.61635E+14,West End,4,48213,-82.99458116,42.38318931,2020/01/03 07:57:46+00,61212
-83.20294164,42.40141772,3453534,2001010245,Fenkell St & Prevost St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/01 05:00:00+00,0,3,0,2020,814,8,2.61635E+14,Grand River-St Marys,1,48227,-83.20294164,42.40141772,2020/01/14 10:23:55+00,61214
-83.13173483,42.38263818,3453612,2001010321,Petoskey Ave & Sturtevant St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/01 07:00:00+00,0.083333333,3,2,2020,1002,10,2.61635E+14,Russell Woods,7,48204,-83.13173483,42.38263818,2020/01/03 07:57:46+00,61223
-82.9594646,42.40703537,3454188,2001030076,Wayburn St & Evanston St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/03 14:20:00+00,0.388888889,5,9,2020,911,9,2.61635E+14,Outer Drive-Hayes,4,48224,-82.9594646,42.40703537,2020/01/07 10:31:15+00,61298
-83.14504344,42.37820381,3454191,2001030079,Oakman Blvd & American St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/02 21:30:00+00,0.6875,4,16,2020,1004,10,2.61635E+14,Oakman Blvd Community,7,48204,-83.14504344,42.37820381,2020/01/07 10:31:15+00,61299
-82.96559628,42.43810538,3454219,2001030112,Hayes St & Coram St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/01/03 06:00:00+00,0.041666667,5,1,2020,903,9,2.61635E+14,Regent Park,3,48205,-82.96559628,42.43810538,2020/01/07 10:31:15+00,61302
